epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,11385.1,1.12046,0.57585,0.90216,0.8267,0.65631,0.75693,0.46732,1.165,0.59233,0.90275,0.003169,0.003169,0.003169
71,11594.7,1.12049,0.57716,0.89974,0.82825,0.6507,0.75524,0.46583,1.16782,0.59197,0.90364,0.00307,0.00307,0.00307
72,11804.2,1.11853,0.57476,0.89929,0.82218,0.65466,0.75555,0.46779,1.16201,0.58908,0.90203,0.002971,0.002971,0.002971
73,12015,1.12297,0.57706,0.89886,0.82438,0.65562,0.75497,0.4668,1.16473,0.59011,0.90284,0.002872,0.002872,0.002872
74,12224.8,1.11375,0.57229,0.89819,0.82259,0.65292,0.75417,0.46611,1.16811,0.5901,0.904,0.002773,0.002773,0.002773
75,12434.1,1.11385,0.56913,0.89992,0.82714,0.65195,0.75567,0.46635,1.16635,0.59025,0.90341,0.002674,0.002674,0.002674
76,12642.1,1.11017,0.5696,0.89667,0.82807,0.65472,0.75656,0.46627,1.16952,0.5899,0.90305,0.002575,0.002575,0.002575
77,12850.7,1.10405,0.5665,0.89402,0.82126,0.65881,0.75685,0.46643,1.16986,0.58864,0.90262,0.002476,0.002476,0.002476
78,13058.9,1.10959,0.5698,0.89479,0.82815,0.65492,0.75683,0.46551,1.17303,0.58948,0.90315,0.002377,0.002377,0.002377
79,13268.3,1.09501,0.55961,0.89407,0.83238,0.65381,0.7571,0.46538,1.17311,0.58902,0.90334,0.002278,0.002278,0.002278
80,13477.5,1.10101,0.5608,0.89509,0.83039,0.65464,0.75673,0.4662,1.17119,0.5894,0.90328,0.002179,0.002179,0.002179
81,13687.7,1.10938,0.56253,0.89541,0.82483,0.65796,0.7573,0.46623,1.17163,0.58926,0.90344,0.00208,0.00208,0.00208
82,13896.6,1.10206,0.56189,0.89654,0.82706,0.65665,0.7565,0.46737,1.17066,0.58882,0.90395,0.001981,0.001981,0.001981
83,14104.9,1.09336,0.55852,0.89479,0.82429,0.65814,0.75747,0.46818,1.16377,0.58696,0.90249,0.001882,0.001882,0.001882
84,14314.2,1.08647,0.55191,0.89026,0.82278,0.66074,0.75721,0.46791,1.1648,0.58591,0.90257,0.001783,0.001783,0.001783
85,14523.3,1.10075,0.55622,0.89424,0.82609,0.65749,0.7576,0.46816,1.16711,0.58628,0.90283,0.001684,0.001684,0.001684
86,14732.4,1.08368,0.55004,0.88923,0.82583,0.65693,0.75753,0.46854,1.16457,0.58539,0.9019,0.001585,0.001585,0.001585
87,14941.7,1.08698,0.55195,0.89049,0.82589,0.65657,0.75793,0.46847,1.1678,0.5858,0.9023,0.001486,0.001486,0.001486
88,15150.7,1.07873,0.54576,0.8888,0.82541,0.65832,0.75832,0.46807,1.16998,0.58588,0.90319,0.001387,0.001387,0.001387
89,15359.7,1.08153,0.5462,0.88985,0.82645,0.65773,0.75834,0.46832,1.16985,0.5857,0.90379,0.001288,0.001288,0.001288
90,15568,1.07981,0.54654,0.88889,0.82498,0.6612,0.75843,0.46775,1.17333,0.58785,0.90412,0.001189,0.001189,0.001189
91,15772.6,1.06875,0.53754,0.89016,0.82844,0.65722,0.75719,0.4668,1.17491,0.5895,0.90437,0.00109,0.00109,0.00109
92,15976,1.05577,0.52843,0.88773,0.82553,0.65758,0.75662,0.46645,1.17611,0.58938,0.9048,0.000991,0.000991,0.000991
93,16179.1,1.06269,0.53018,0.88811,0.82484,0.65567,0.75602,0.4658,1.17647,0.58983,0.90461,0.000892,0.000892,0.000892
94,16381.7,1.05476,0.52458,0.88473,0.82717,0.65358,0.75533,0.46608,1.1753,0.58947,0.90497,0.000793,0.000793,0.000793
95,16584.2,1.05389,0.52426,0.8851,0.82676,0.65578,0.75644,0.46599,1.1757,0.58922,0.90509,0.000694,0.000694,0.000694
96,16786.4,1.04031,0.51751,0.88329,0.82681,0.65549,0.75567,0.46574,1.17663,0.58983,0.9056,0.000595,0.000595,0.000595
97,16990.2,1.04517,0.5197,0.88361,0.82818,0.6542,0.75573,0.46533,1.17935,0.59049,0.90631,0.000496,0.000496,0.000496
98,17192.8,1.04754,0.51828,0.88337,0.82908,0.65311,0.755,0.46498,1.1812,0.59101,0.90674,0.000397,0.000397,0.000397
99,17395.1,1.03645,0.51432,0.88339,0.82672,0.65413,0.7545,0.46451,1.18316,0.59152,0.90719,0.000298,0.000298,0.000298
100,17597.9,1.04115,0.51641,0.88289,0.82614,0.65525,0.75493,0.46439,1.18381,0.59159,0.90724,0.000199,0.000199,0.000199
